Estación:       ECOGUARDAS,  DF
Operada por:    SMN EMAS
Longitud:       99°12'14"  Latitud: 19°16'17"  Altitud: 2200

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
30/01/2018 23:00        81       120      2.74     10.20      10.1        30     756.3       0.0      64.8
31/01/2018 00:00        52        83      2.38      8.30       8.9        37     756.4       0.0       3.8
31/01/2018 01:00        64       100      3.26      9.60       7.4        48     756.7       0.0       0.0
31/01/2018 02:00        23        38      3.18      6.30       5.6        60     757.2       0.0       0.0
31/01/2018 03:00         0        51      2.14      5.50       4.9        68     757.6       0.0       0.0
31/01/2018 04:00       286       360      0.97      3.80       4.3        73     757.7       0.0       0.0
31/01/2018 05:00       353        67      2.25      4.40       3.8        78     757.6       0.0       0.0
31/01/2018 06:00       310       315      2.10      4.50       3.3        81     757.3       0.0       0.0
31/01/2018 07:00       274       256      2.33      5.00       3.1        83     756.9       0.0       0.0
31/01/2018 08:00       304       323      4.09      7.70       2.1        87     756.5       0.0       0.0
31/01/2018 09:00       322       334      3.73      7.30       1.6        89     755.9       0.0       0.0
31/01/2018 10:00       333       360      2.43      6.00       1.7        90     755.5       0.0       0.0
31/01/2018 11:00       252       258      2.59      6.10       1.8        91     755.5       0.0       0.0
31/01/2018 12:00       292       241      1.93      4.00       1.8        92     755.7       0.0       0.0
31/01/2018 13:00       317        50      0.82      3.90       2.3        92     755.9       0.0      20.5
31/01/2018 14:00       166       240      2.60      7.50       6.0        75     756.4       0.0     250.8
31/01/2018 15:00       169       184      2.81      9.10       8.4        64     757.0       0.0     244.5
31/01/2018 16:00       157       131      4.13     12.00      11.5        52     757.3       0.0     426.5
31/01/2018 17:00       103       142      4.71     14.50      13.4        48     757.2       0.0     537.3
31/01/2018 18:00       203       330      4.58     23.30      17.2        39     756.5       0.0     732.0
31/01/2018 19:00       272       317     14.05     34.30      19.0        35     755.5       0.0     801.5
31/01/2018 20:00       268       280      9.72     24.40      17.9        36     754.7       0.0     332.8
31/01/2018 21:00       240       287      9.41     25.20      18.3        34     754.4       0.0     391.0
31/01/2018 22:00       215       229      9.30     19.00      17.7        35     754.3       0.0     192.5
31/01/2018 23:00       263       286      7.62     21.50      16.5        39     754.5       0.0     113.7
01/02/2018 00:00       302       327      9.99     24.70      14.2        47     755.0       0.0      13.3
01/02/2018 01:00       303       319      9.62     23.50      13.1        48     755.6       0.0       0.0
01/02/2018 02:00       310       333      9.94     19.90      12.1        44     756.2       0.0       0.0
01/02/2018 03:00       329       328      9.91     20.00      11.1        43     756.6       0.0       0.0
01/02/2018 04:00       344       343      3.72     17.50       9.5        47     756.9       0.0       0.0
01/02/2018 05:00       329       336      4.60     11.80       7.6        57     757.2       0.0       0.0
01/02/2018 06:00       312       320      5.97     13.00       7.4        64     757.1       0.0       0.0
01/02/2018 07:00       317       318      8.01     16.30       7.5        67     757.1       0.0       0.0
01/02/2018 08:00       322       336      6.16      9.60       6.5        72     756.8       0.0       0.0
01/02/2018 09:00       326       336      7.92     12.50       6.4        76     756.6       0.0       0.0
01/02/2018 10:00       333       341      7.62     11.70       5.6        78     756.3       0.0       0.0
01/02/2018 11:00       336       336      7.78     13.80       5.7        76     756.3       0.0       0.0
