00Z 01 Jan 2017, 0.00, 12.77
12Z 01 Jan 2017, 0.00, 13.44
00Z 02 Jan 2017, 0.00, 13.42
12Z 02 Jan 2017, 0.74, 9.43
00Z 03 Jan 2017, 0.75, 6.78
12Z 03 Jan 2017, 0.00, 4.91
00Z 04 Jan 2017, 0.00, 5.10
12Z 04 Jan 2017, 0.00, 6.82
00Z 05 Jan 2017, 0.00, 6.95
12Z 05 Jan 2017, 0.00, 5.09
00Z 06 Jan 2017, 0.00, 4.69
12Z 06 Jan 2017, 0.00, 2.96
00Z 07 Jan 2017, 0.00, 3.21
12Z 07 Jan 2017, 0.00, 2.72
00Z 08 Jan 2017, 0.00, 2.04
12Z 08 Jan 2017, 0.00, 1.68
00Z 09 Jan 2017, 0.00, 3.97
12Z 09 Jan 2017, 0.00, 3.07
00Z 10 Jan 2017, 0.00, 6.02
12Z 10 Jan 2017, 0.00, 6.36
00Z 11 Jan 2017, 0.00, 8.95
12Z 11 Jan 2017, 0.00, 8.67
00Z 12 Jan 2017, 0.00, 6.37
12Z 12 Jan 2017, 0.00, 6.15
00Z 13 Jan 2017, 0.00, 7.79
12Z 13 Jan 2017, 0.00, 5.86
00Z 14 Jan 2017, 0.00, 10.74
12Z 14 Jan 2017, 0.00, 11.13
00Z 15 Jan 2017, 0.00, 10.80
12Z 15 Jan 2017, 0.00, 7.13
00Z 16 Jan 2017, 0.00, 7.10
12Z 16 Jan 2017, 0.00, 6.02
00Z 17 Jan 2017, 0.00, 6.22
12Z 17 Jan 2017, 0.00, 4.59
00Z 18 Jan 2017, 0.00, 5.38
12Z 18 Jan 2017, 0.39, 4.22
00Z 19 Jan 2017, 0.00, 6.28
12Z 19 Jan 2017, 0.00, 10.35
00Z 20 Jan 2017, 0.00, 8.64
12Z 20 Jan 2017, 9.30, 5.93
00Z 21 Jan 2017, 0.00, 10.56
12Z 21 Jan 2017, 0.00, 5.33
00Z 22 Jan 2017, 0.00, 5.12
12Z 22 Jan 2017, 0.00, 9.45
00Z 23 Jan 2017, 0.06, 9.63
00Z 24 Jan 2017, 0.00, 6.71
12Z 24 Jan 2017, 0.00, 7.78
00Z 25 Jan 2017, 0.00, 4.53
12Z 25 Jan 2017, 0.00, 3.28
00Z 26 Jan 2017, 0.00, 2.66
12Z 26 Jan 2017, 0.00, 4.86
00Z 27 Jan 2017, 0.00, 12.71
12Z 27 Jan 2017, 0.00, 8.17
00Z 28 Jan 2017, 0.00, 10.09
12Z 28 Jan 2017, 0.00, 8.96
00Z 29 Jan 2017, 0.00, 9.73
12Z 29 Jan 2017, 0.00, 8.82
00Z 30 Jan 2017, 0.00, 8.77
12Z 30 Jan 2017, 0.00, 5.84
00Z 31 Jan 2017, 0.00, 7.75
12Z 31 Jan 2017, 0.00, 6.98
00Z 01 Feb 2017, 0.00, 8.56
12Z 01 Feb 2017, 0.00, 6.05
00Z 02 Feb 2017, 0.00, 6.16
12Z 02 Feb 2017, 8.58, 5.13
00Z 03 Feb 2017, 0.00, 7.16
12Z 03 Feb 2017, 0.00, 7.23
00Z 04 Feb 2017, 0.00, 6.72
12Z 04 Feb 2017, 0.00, 7.13
00Z 05 Feb 2017, 0.00, 7.68
12Z 05 Feb 2017, 0.00, 5.01
00Z 06 Feb 2017, 0.00, 6.86
12Z 06 Feb 2017, 0.00, 3.35
00Z 07 Feb 2017, 0.00, 2.30
12Z 07 Feb 2017, 0.00, 2.86
00Z 08 Feb 2017, 0.00, 2.47
12Z 08 Feb 2017, 0.00, 4.08
00Z 09 Feb 2017, 0.00, 3.82
12Z 09 Feb 2017, 0.00, 6.12
00Z 10 Feb 2017, 0.00, 6.01
12Z 10 Feb 2017, 0.00, 6.55
00Z 11 Feb 2017, 0.00, 6.21
12Z 11 Feb 2017, 0.00, 5.81
00Z 12 Feb 2017, 0.00, 6.07
12Z 12 Feb 2017, 0.00, 6.44
00Z 13 Feb 2017, 0.00, 3.47
12Z 13 Feb 2017, 0.01, 8.02
00Z 14 Feb 2017, 0.00, 13.30
12Z 14 Feb 2017, 0.00, 8.03
00Z 15 Feb 2017, 0.00, 7.08
12Z 15 Feb 2017, 0.00, 3.82
00Z 16 Feb 2017, 0.00, 6.70
12Z 16 Feb 2017, 0.00, 6.25
00Z 17 Feb 2017, 0.00, 13.66
12Z 17 Feb 2017, 0.00, 8.54
00Z 18 Feb 2017, 0.00, 11.08
12Z 18 Feb 2017, 0.00, 8.08
00Z 19 Feb 2017, 0.00, 9.38
12Z 19 Feb 2017, 0.01, 8.76
00Z 20 Feb 2017, 0.00, 15.01
12Z 20 Feb 2017, 0.00, 9.92
00Z 21 Feb 2017, 0.00, 13.92
12Z 21 Feb 2017, 0.00, 10.45
00Z 22 Feb 2017, 0.00, 10.32
12Z 22 Feb 2017, 0.00, 4.72
00Z 23 Feb 2017, 0.00, 9.29
12Z 23 Feb 2017, 9.34, 8.04
00Z 24 Feb 2017, 0.00, 9.30
12Z 24 Feb 2017, 0.00, 16.88
00Z 25 Feb 2017, 0.00, 4.64
12Z 25 Feb 2017, 23.04, 5.11
00Z 26 Feb 2017, 0.00, 5.17
12Z 26 Feb 2017, 0.00, 8.13
00Z 27 Feb 2017, 0.00, 9.89
12Z 27 Feb 2017, 0.02, 5.87
00Z 28 Feb 2017, 0.00, 11.02
12Z 28 Feb 2017, 0.00, 10.76
00Z 01 Mar 2017, 0.00, 14.05
12Z 01 Mar 2017, 0.00, 15.65
00Z 02 Mar 2017, 0.00, 16.00
12Z 02 Mar 2017, 0.00, 8.61
00Z 03 Mar 2017, 0.00, 10.45
12Z 03 Mar 2017, 1.51, 9.49
00Z 04 Mar 2017, 0.00, 8.05
12Z 04 Mar 2017, 0.00, 8.98
00Z 05 Mar 2017, 0.00, 12.19
12Z 05 Mar 2017, 0.00, 13.38
00Z 06 Mar 2017, 0.00, 14.57
12Z 06 Mar 2017, 0.00, 14.48
00Z 07 Mar 2017, 0.00, 16.46
12Z 07 Mar 2017, 0.00, 14.58
00Z 08 Mar 2017, 2.51, 10.60
12Z 08 Mar 2017, 0.00, 8.98
00Z 09 Mar 2017, 0.00, 12.26
12Z 09 Mar 2017, 0.00, 10.64
00Z 10 Mar 2017, 0.00, 7.65
12Z 10 Mar 2017, 0.00, 10.00
00Z 11 Mar 2017, 0.00, 9.89
12Z 11 Mar 2017, 0.00, 15.25
00Z 12 Mar 2017, 0.00, 14.32
12Z 12 Mar 2017, 0.00, 7.61
00Z 13 Mar 2017, 0.00, 8.02
12Z 13 Mar 2017, 0.00, 5.61
00Z 14 Mar 2017, 0.00, 6.47
12Z 14 Mar 2017, 0.00, 4.80
00Z 15 Mar 2017, 0.00, 8.94
12Z 15 Mar 2017, 0.00, 9.36
00Z 16 Mar 2017, 0.00, 8.90
12Z 16 Mar 2017, 10.95, 7.72
00Z 17 Mar 2017, 0.00, 8.74
12Z 17 Mar 2017, 22.07, 6.28
00Z 18 Mar 2017, 0.00, 8.93
12Z 18 Mar 2017, 0.00, 9.15
00Z 19 Mar 2017, 0.00, 7.96
12Z 19 Mar 2017, 21.90, 8.19
00Z 20 Mar 2017, 0.00, 6.50
12Z 20 Mar 2017, 13.91, 5.15
00Z 21 Mar 2017, 0.00, 7.14
12Z 21 Mar 2017, 0.00, 8.76
00Z 22 Mar 2017, 0.00, 14.12
12Z 22 Mar 2017, 0.00, 13.57
00Z 23 Mar 2017, 0.00, 9.08
12Z 23 Mar 2017, 0.00, 6.27
00Z 24 Mar 2017, 0.00, 7.75
12Z 24 Mar 2017, 1.97, 9.52
00Z 25 Mar 2017, 3.60, 4.41
12Z 25 Mar 2017, 0.00, 5.49
00Z 26 Mar 2017, 6.38, 6.64
12Z 26 Mar 2017, 43.02, 5.88
00Z 27 Mar 2017, 0.00, 10.75
12Z 27 Mar 2017, 0.00, 5.22
00Z 28 Mar 2017, 0.00, 11.89
12Z 28 Mar 2017, 38.89, 4.50
00Z 29 Mar 2017, 0.00, 5.90
12Z 29 Mar 2017, 0.00, 5.43
00Z 30 Mar 2017, 0.00, 6.70
12Z 30 Mar 2017, 39.48, 3.44
00Z 31 Mar 2017, 0.00, 7.39
12Z 31 Mar 2017, 0.00, 12.19
00Z 01 Apr 2017, 0.33, 9.24
12Z 01 Apr 2017, 0.00, 8.54
00Z 02 Apr 2017, 0.00, 18.41
12Z 02 Apr 2017, 36.63, 13.47
00Z 03 Apr 2017, 2.73, 17.20
12Z 03 Apr 2017, 3.76, 14.84
00Z 04 Apr 2017, 0.00, 7.93
12Z 04 Apr 2017, 45.19, 9.12
00Z 05 Apr 2017, 0.00, 10.30
12Z 05 Apr 2017, 34.78, 11.53
00Z 06 Apr 2017, 0.00, 17.61
12Z 06 Apr 2017, 0.00, 8.08
00Z 07 Apr 2017, 0.00, 12.33
12Z 07 Apr 2017, 0.01, 13.45
00Z 08 Apr 2017, 0.00, 12.82
12Z 08 Apr 2017, 24.14, 8.13
00Z 09 Apr 2017, 0.00, 7.30
12Z 09 Apr 2017, 0.00, 8.64
00Z 10 Apr 2017, 0.00, 12.21
12Z 10 Apr 2017, 0.00, 9.37
00Z 11 Apr 2017, 0.00, 12.36
12Z 11 Apr 2017, 0.00, 14.17
00Z 12 Apr 2017, 0.00, 8.97
12Z 12 Apr 2017, 0.00, 5.51
00Z 13 Apr 2017, 0.00, 12.75
12Z 13 Apr 2017, 0.44, 11.65
00Z 14 Apr 2017, 0.00, 9.20
12Z 14 Apr 2017, 0.00, 4.03
00Z 15 Apr 2017, 1.51, 5.97
12Z 15 Apr 2017, 0.00, 7.13
00Z 16 Apr 2017, 0.00, 10.49
12Z 16 Apr 2017, 0.00, 8.88
00Z 17 Apr 2017, 1.95, 5.59
12Z 17 Apr 2017, 0.00, 4.71
00Z 18 Apr 2017, 0.00, 7.13
12Z 18 Apr 2017, 42.58, 4.97
00Z 19 Apr 2017, 5.79, 4.88
12Z 19 Apr 2017, 78.72, 3.79
00Z 20 Apr 2017, 7.46, 4.14
12Z 20 Apr 2017, 0.00, 3.79
00Z 21 Apr 2017, 0.00, 5.02
12Z 21 Apr 2017, 0.00, 8.18
00Z 22 Apr 2017, 0.00, 13.08
12Z 22 Apr 2017, 0.01, 7.48
00Z 23 Apr 2017, 0.03, 7.15
12Z 23 Apr 2017, 0.00, 6.86
00Z 24 Apr 2017, 0.00, 8.04
12Z 24 Apr 2017, 0.00, 3.29
00Z 25 Apr 2017, 3.28, 8.26
12Z 25 Apr 2017, 12.36, 7.12
00Z 26 Apr 2017, 0.00, 12.53
12Z 26 Apr 2017, 0.00, 18.19
00Z 27 Apr 2017, 0.00, 16.55
12Z 27 Apr 2017, 0.00, 17.73
00Z 28 Apr 2017, 0.00, 19.73
12Z 28 Apr 2017, 0.00, 20.62
00Z 29 Apr 2017, 0.00, 18.72
12Z 29 Apr 2017, 0.00, 17.75
00Z 30 Apr 2017, 0.00, 25.44
12Z 30 Apr 2017, 0.00, 22.07
00Z 01 May 2017, 0.00, 18.91
12Z 01 May 2017, 133.07, 16.44
00Z 02 May 2017, 0.00, 13.47
12Z 02 May 2017, 0.00, 17.71
00Z 03 May 2017, 0.00, 11.93
12Z 03 May 2017, 0.00, 5.11
00Z 04 May 2017, 0.00, 10.47
12Z 04 May 2017, 0.00, 7.98
00Z 05 May 2017, 0.00, 8.03
12Z 05 May 2017, 0.00, 5.55
00Z 06 May 2017, 0.00, 8.75
12Z 06 May 2017, 0.00, 11.12
00Z 07 May 2017, 0.00, 19.19
12Z 07 May 2017, 3.65, 17.18
00Z 08 May 2017, 0.00, 21.46
12Z 08 May 2017, 0.00, 13.09
00Z 09 May 2017, 0.00, 10.90
12Z 09 May 2017, 3.90, 7.69
00Z 10 May 2017, 0.00, 7.57
12Z 10 May 2017, 17.11, 4.78
00Z 11 May 2017, 0.00, 7.21
12Z 11 May 2017, 0.00, 8.65
00Z 12 May 2017, 13.22, 7.18
12Z 12 May 2017, 1.07, 6.37
00Z 13 May 2017, 0.00, 9.74
12Z 13 May 2017, 0.00, 7.44
00Z 14 May 2017, 0.00, 9.09
12Z 14 May 2017, 217.58, 7.78
00Z 15 May 2017, 0.00, 9.98
12Z 15 May 2017, 91.82, 8.92
00Z 16 May 2017, 0.00, 20.39
12Z 16 May 2017, 0.00, 6.72
00Z 17 May 2017, 0.00, 8.97
12Z 17 May 2017, 0.00, 5.43
00Z 18 May 2017, 0.00, 7.05
12Z 18 May 2017, 0.00, 9.05
00Z 19 May 2017, 0.00, 11.43
12Z 19 May 2017, 0.00, 9.62
00Z 20 May 2017, 0.00, 18.48
12Z 20 May 2017, 0.00, 16.41
00Z 21 May 2017, 39.55, 24.00
12Z 21 May 2017, 6.77, 15.75
00Z 22 May 2017, 0.00, 11.98
12Z 22 May 2017, 69.73, 10.81
00Z 23 May 2017, 0.00, 20.37
12Z 23 May 2017, 36.98, 12.62
00Z 24 May 2017, 0.00, 17.31
12Z 24 May 2017, 16.30, 15.68
00Z 25 May 2017, 17.54, 22.48
12Z 25 May 2017, 147.57, 12.23
00Z 26 May 2017, 15.57, 15.85
12Z 26 May 2017, 5.03, 14.04
00Z 27 May 2017, 47.27, 14.41
12Z 27 May 2017, 57.88, 8.35
00Z 28 May 2017, 0.00, 20.75
12Z 28 May 2017, 0.00, 16.24
00Z 29 May 2017, 194.47, 21.75
12Z 29 May 2017, 134.44, 27.49
00Z 30 May 2017, 33.63, 24.89
12Z 30 May 2017, 230.20, 18.27
00Z 31 May 2017, 30.72, 22.52
12Z 31 May 2017, 0.00, 23.84
00Z 01 Jun 2017, 3.02, 20.01
12Z 01 Jun 2017, 20.77, 13.35
00Z 02 Jun 2017, 0.08, 9.04
12Z 02 Jun 2017, 0.00, 9.49
00Z 03 Jun 2017, 0.00, 11.42
12Z 03 Jun 2017, 18.97, 8.64
00Z 04 Jun 2017, 0.00, 11.73
12Z 04 Jun 2017, 12.42, 13.25
00Z 05 Jun 2017, 0.00, 19.88
12Z 05 Jun 2017, 146.76, 21.91
00Z 06 Jun 2017, 21.48, 15.17
12Z 06 Jun 2017, 50.15, 15.18
00Z 07 Jun 2017, 17.69, 17.54
12Z 07 Jun 2017, 0.00, 12.53
00Z 08 Jun 2017, 0.00, 24.54
12Z 08 Jun 2017, 0.00, 29.19
00Z 09 Jun 2017, 0.00, 28.43
12Z 09 Jun 2017, 115.28, 18.16
00Z 10 Jun 2017, 0.00, 24.75
12Z 10 Jun 2017, 52.43, 18.50
00Z 11 Jun 2017, 262.20, 19.03
12Z 11 Jun 2017, 183.69, 16.22
00Z 12 Jun 2017, 82.68, 26.62
12Z 12 Jun 2017, 77.61, 21.97
00Z 13 Jun 2017, 0.89, 27.51
12Z 13 Jun 2017, 0.00, 16.49
00Z 14 Jun 2017, 4.86, 22.32
12Z 14 Jun 2017, 0.85, 18.82
00Z 15 Jun 2017, 8.15, 18.46
12Z 15 Jun 2017, 27.54, 12.59
00Z 16 Jun 2017, 2.70, 12.84
12Z 16 Jun 2017, 0.00, 10.62
00Z 17 Jun 2017, 108.41, 16.29
12Z 17 Jun 2017, 46.07, 12.86
00Z 18 Jun 2017, 17.40, 17.27
12Z 18 Jun 2017, 91.86, 14.04
00Z 19 Jun 2017, 141.99, 25.66
12Z 19 Jun 2017, 0.00, 17.87
00Z 20 Jun 2017, 103.81, 22.26
12Z 20 Jun 2017, 0.00, 18.57
00Z 21 Jun 2017, 0.00, 14.82
12Z 21 Jun 2017, 60.18, 13.39
00Z 22 Jun 2017, 0.00, 14.10
12Z 22 Jun 2017, 29.21, 10.98
00Z 23 Jun 2017, 0.97, 15.31
12Z 23 Jun 2017, 94.07, 13.70
00Z 24 Jun 2017, 53.74, 14.71
12Z 24 Jun 2017, 104.36, 14.66
00Z 25 Jun 2017, 0.00, 27.54
12Z 25 Jun 2017, 30.72, 20.85
00Z 26 Jun 2017, 0.00, 25.64
12Z 26 Jun 2017, 0.00, 20.13
00Z 27 Jun 2017, 4.78, 24.42
12Z 27 Jun 2017, 104.48, 14.52
00Z 28 Jun 2017, 45.22, 18.77
12Z 28 Jun 2017, 48.26, 14.39
00Z 29 Jun 2017, 0.00, 25.87
12Z 29 Jun 2017, 0.00, 26.62
00Z 30 Jun 2017, 28.22, 29.04
12Z 30 Jun 2017, 690.28, 29.48
00Z 01 Jul 2017, 45.61, 27.95
12Z 01 Jul 2017, 35.12, 17.60
00Z 02 Jul 2017, 73.68, 25.87
12Z 02 Jul 2017, 45.36, 24.44
00Z 03 Jul 2017, 13.12, 28.39
12Z 03 Jul 2017, 0.00, 25.15
00Z 04 Jul 2017, 0.00, 22.51
12Z 04 Jul 2017, 18.99, 10.85
00Z 05 Jul 2017, 4.51, 22.55
12Z 05 Jul 2017, 0.00, 15.71
00Z 06 Jul 2017, 7.15, 18.14
12Z 06 Jul 2017, 0.00, 9.74
00Z 07 Jul 2017, 29.13, 13.43
12Z 07 Jul 2017, 70.07, 12.52
00Z 08 Jul 2017, 47.89, 15.17
12Z 08 Jul 2017, 105.44, 13.40
00Z 09 Jul 2017, 64.90, 15.89
12Z 09 Jul 2017, 73.19, 13.61
00Z 10 Jul 2017, 136.69, 41.63
12Z 10 Jul 2017, 152.52, 16.91
00Z 11 Jul 2017, 14.63, 20.24
12Z 11 Jul 2017, 81.83, 19.34
00Z 12 Jul 2017, 7.98, 37.32
12Z 12 Jul 2017, 186.79, 28.86
00Z 13 Jul 2017, 20.43, 26.67
12Z 13 Jul 2017, 39.12, 20.44
00Z 14 Jul 2017, 56.85, 35.37
12Z 14 Jul 2017, 203.80, 26.90
00Z 15 Jul 2017, 0.00, 27.99
12Z 15 Jul 2017, 0.00, 20.36
00Z 16 Jul 2017, 0.00, 22.11
12Z 16 Jul 2017, 28.64, 19.40
00Z 17 Jul 2017, 0.00, 23.56
12Z 17 Jul 2017, 148.06, 22.64
00Z 18 Jul 2017, 31.09, 23.89
12Z 18 Jul 2017, 45.36, 16.22
00Z 19 Jul 2017, 98.06, 20.18
12Z 19 Jul 2017, 43.35, 17.07
00Z 20 Jul 2017, 10.72, 17.97
12Z 20 Jul 2017, 97.17, 19.01
00Z 21 Jul 2017, 30.26, 23.94
12Z 21 Jul 2017, 53.18, 17.59
00Z 22 Jul 2017, 0.00, 21.18
12Z 22 Jul 2017, 53.97, 22.04
00Z 23 Jul 2017, 65.33, 20.81
12Z 23 Jul 2017, 72.86, 16.66
00Z 24 Jul 2017, 15.75, 18.73
12Z 24 Jul 2017, 90.35, 21.46
00Z 25 Jul 2017, 0.00, 28.88
12Z 25 Jul 2017, 67.56, 27.07
00Z 26 Jul 2017, 22.68, 33.88
12Z 26 Jul 2017, 141.46, 30.36
00Z 27 Jul 2017, 0.00, 35.71
12Z 27 Jul 2017, 24.06, 19.62
00Z 28 Jul 2017, 19.21, 30.27
12Z 28 Jul 2017, 36.66, 30.54
00Z 29 Jul 2017, 0.00, 27.76
12Z 29 Jul 2017, 392.90, 27.85
00Z 30 Jul 2017, 0.00, 37.62
12Z 30 Jul 2017, 0.00, 27.00
00Z 31 Jul 2017, 0.18, 26.58
12Z 31 Jul 2017, 23.69, 24.60
00Z 01 Aug 2017, 159.84, 33.67
12Z 01 Aug 2017, 40.19, 24.08
00Z 02 Aug 2017, 0.00, 35.70
12Z 02 Aug 2017, 774.38, 30.02
00Z 03 Aug 2017, 0.15, 38.07
12Z 03 Aug 2017, 0.00, 18.05
00Z 04 Aug 2017, 0.00, 28.05
12Z 04 Aug 2017, 657.51, 27.84
00Z 05 Aug 2017, 0.62, 24.24
12Z 05 Aug 2017, 162.94, 21.14
00Z 06 Aug 2017, 16.87, 23.20
12Z 06 Aug 2017, 131.82, 28.96
00Z 07 Aug 2017, 9.59, 27.42
12Z 07 Aug 2017, 0.00, 13.86
00Z 08 Aug 2017, 10.22, 15.58
12Z 08 Aug 2017, 15.61, 13.55
00Z 09 Aug 2017, 0.00, 15.60
12Z 09 Aug 2017, 0.00, 18.22
00Z 10 Aug 2017, 9.82, 20.03
12Z 10 Aug 2017, 0.00, 23.61
00Z 11 Aug 2017, 336.31, 37.75
12Z 11 Aug 2017, 74.53, 27.79
00Z 12 Aug 2017, 0.00, 22.69
12Z 12 Aug 2017, 406.41, 29.26
00Z 13 Aug 2017, 1054.61, 31.62
12Z 13 Aug 2017, 1251.24, 28.52
00Z 14 Aug 2017, 625.90, 29.91
12Z 14 Aug 2017, 124.95, 33.04
00Z 15 Aug 2017, 14.33, 17.07
12Z 15 Aug 2017, 0.00, 12.78
00Z 16 Aug 2017, 1.48, 15.55
12Z 16 Aug 2017, 86.75, 23.26
00Z 17 Aug 2017, 0.00, 26.06
12Z 17 Aug 2017, 185.47, 23.68
00Z 18 Aug 2017, 154.92, 25.79
12Z 18 Aug 2017, 96.74, 19.35
00Z 19 Aug 2017, 283.24, 23.27
12Z 19 Aug 2017, 0.00, 18.66
00Z 20 Aug 2017, 101.61, 21.98
12Z 20 Aug 2017, 93.76, 18.50
00Z 21 Aug 2017, 0.00, 16.88
12Z 21 Aug 2017, 629.49, 21.28
00Z 22 Aug 2017, 43.93, 31.98
12Z 22 Aug 2017, 143.33, 24.81
00Z 23 Aug 2017, 8.40, 32.41
12Z 23 Aug 2017, 0.00, 33.02
00Z 24 Aug 2017, 0.00, 21.85
12Z 24 Aug 2017, 7.30, 21.47
00Z 25 Aug 2017, 5.66, 28.48
12Z 25 Aug 2017, 21.68, 15.80
00Z 26 Aug 2017, 12.45, 25.28
12Z 26 Aug 2017, 5.59, 18.76
00Z 27 Aug 2017, 7.30, 18.87
12Z 27 Aug 2017, 31.00, 25.04
00Z 28 Aug 2017, 0.00, 31.54
12Z 28 Aug 2017, 3.26, 21.39
00Z 29 Aug 2017, 56.48, 16.35
12Z 29 Aug 2017, 0.00, 13.77
00Z 30 Aug 2017, 6.21, 12.49
12Z 30 Aug 2017, 39.02, 12.34
00Z 31 Aug 2017, 0.00, 20.76
12Z 31 Aug 2017, 0.00, 17.25
00Z 01 Sep 2017, 0.00, 14.29
12Z 01 Sep 2017, 0.00, 12.06
00Z 02 Sep 2017, 0.00, 21.16
12Z 02 Sep 2017, 35.84, 28.90
00Z 03 Sep 2017, 0.00, 26.56
12Z 03 Sep 2017, 0.00, 22.21
00Z 04 Sep 2017, 0.00, 30.11
12Z 04 Sep 2017, 13.42, 27.74
00Z 05 Sep 2017, 18.12, 31.17
12Z 05 Sep 2017, 0.00, 23.26
00Z 06 Sep 2017, 0.00, 20.79
12Z 06 Sep 2017, 0.00, 20.26
00Z 07 Sep 2017, 23.71, 21.51
12Z 07 Sep 2017, 0.00, 18.89
00Z 08 Sep 2017, 0.00, 20.65
12Z 08 Sep 2017, 63.35, 16.40
00Z 09 Sep 2017, 0.00, 18.86
12Z 09 Sep 2017, 86.56, 23.60
00Z 10 Sep 2017, 0.00, 19.38
12Z 10 Sep 2017, 128.64, 26.10
00Z 11 Sep 2017, 0.00, 25.84
12Z 11 Sep 2017, 445.17, 25.50
00Z 12 Sep 2017, 263.48, 33.59
12Z 12 Sep 2017, 111.20, 24.17
00Z 13 Sep 2017, 119.69, 24.08
12Z 13 Sep 2017, 49.23, 28.40
00Z 14 Sep 2017, 20.96, 16.00
12Z 14 Sep 2017, 106.18, 19.08
00Z 15 Sep 2017, 0.00, 31.31
12Z 15 Sep 2017, 276.50, 20.38
00Z 16 Sep 2017, 0.00, 15.76
12Z 16 Sep 2017, 20.56, 15.31
00Z 17 Sep 2017, 0.00, 22.39
12Z 17 Sep 2017, 0.00, 25.44
00Z 18 Sep 2017, 0.46, 31.01
12Z 18 Sep 2017, 2.07, 15.97
00Z 19 Sep 2017, 7.87, 21.37
12Z 19 Sep 2017, 29.61, 13.38
00Z 20 Sep 2017, 6.83, 16.10
12Z 20 Sep 2017, 2.14, 18.51
00Z 21 Sep 2017, 0.00, 24.92
12Z 21 Sep 2017, 0.00, 26.28
00Z 22 Sep 2017, 0.00, 23.65
12Z 22 Sep 2017, 0.00, 20.26
00Z 23 Sep 2017, 0.00, 17.93
12Z 23 Sep 2017, 0.00, 15.51
00Z 24 Sep 2017, 0.00, 11.40
12Z 24 Sep 2017, 0.00, 11.36
00Z 25 Sep 2017, 0.00, 16.10
12Z 25 Sep 2017, 0.00, 11.48
00Z 26 Sep 2017, 0.00, 14.68
12Z 26 Sep 2017, 0.94, 13.97
00Z 27 Sep 2017, 0.00, 14.30
12Z 27 Sep 2017, 0.00, 12.41
00Z 28 Sep 2017, 0.00, 14.64
12Z 28 Sep 2017, 0.00, 10.74
00Z 29 Sep 2017, 0.00, 11.03
12Z 29 Sep 2017, 21.92, 10.38
00Z 30 Sep 2017, 1.66, 14.42
12Z 30 Sep 2017, 0.65, 10.78
00Z 01 Oct 2017, 18.90, 14.95
12Z 01 Oct 2017, 0.00, 11.97
00Z 02 Oct 2017, 0.47, 10.26
12Z 02 Oct 2017, 0.00, 12.62
00Z 04 Oct 2017, 0.00, 17.31
12Z 04 Oct 2017, 0.00, 18.93
00Z 05 Oct 2017, 29.96, 18.63
12Z 05 Oct 2017, 0.00, 14.88
00Z 06 Oct 2017, 3.82, 13.68
12Z 06 Oct 2017, 35.77, 16.08
00Z 07 Oct 2017, 10.12, 15.42
12Z 07 Oct 2017, 0.00, 12.61
00Z 08 Oct 2017, 7.45, 13.83
12Z 08 Oct 2017, 0.00, 9.29
00Z 09 Oct 2017, 0.00, 22.43
12Z 09 Oct 2017, 0.00, 19.22
00Z 10 Oct 2017, 0.00, 11.76
12Z 10 Oct 2017, 13.16, 12.00
00Z 11 Oct 2017, 0.00, 15.97
12Z 11 Oct 2017, 33.06, 12.42
00Z 12 Oct 2017, 0.79, 16.08
12Z 12 Oct 2017, 19.23, 22.11
00Z 13 Oct 2017, 14.50, 22.25
12Z 13 Oct 2017, 41.68, 17.04
00Z 14 Oct 2017, 15.53, 17.70
12Z 14 Oct 2017, 2.36, 9.62
00Z 15 Oct 2017, 0.00, 23.43
12Z 15 Oct 2017, 8.16, 11.10
00Z 16 Oct 2017, 0.00, 12.83
12Z 16 Oct 2017, 0.00, 18.18
00Z 17 Oct 2017, 0.00, 23.07
12Z 17 Oct 2017, 0.00, 15.86
00Z 18 Oct 2017, 0.00, 24.33
12Z 18 Oct 2017, 0.00, 7.80
00Z 19 Oct 2017, 3.54, 12.82
12Z 19 Oct 2017, 0.40, 7.56
00Z 20 Oct 2017, 0.88, 7.76
12Z 20 Oct 2017, 0.00, 8.06
